year,age_group,sex,education_category,education_type,region,value
2021,35 - 39 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,64.2
2022,35 - 39 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,58.7
2023,35 - 39 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,48.8
2019,40 - 44 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,55.3
2020,40 - 44 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,54.3
2021,40 - 44 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,54.3
2022,40 - 44 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,59.8
2023,40 - 44 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,56.9
2024,40 - 44 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,55.6
2019,45 - 49 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,60.0
2020,45 - 49 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,58.7
2021,45 - 49 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,53.2
2022,45 - 49 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,45.6
2023,45 - 49 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,61.9
2024,45 - 49 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,63.0
2019,50 - 54 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,58.3
2020,50 - 54 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,58.1
2021,50 - 54 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,53.6
2022,50 - 54 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,58.7
2023,50 - 54 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,59.3
2024,50 - 54 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,71.1
2019,55 - 59 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,56.1
2020,55 - 59 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,54.2
2021,55 - 59 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,59.4
2022,55 - 59 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,62.4
2023,55 - 59 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,66.8
2024,55 - 59 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,56.1
2019,60 - 64 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,45.3
2020,60 - 64 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,42.7
2021,60 - 64 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,39.5
2022,60 - 64 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,46.8
2023,60 - 64 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,57.6
2024,60 - 64 years,Both sexes,Primary & Lower Secondary,detailed,Ireland,49.4
2019,All ages,Both sexes,Primary & Lower Secondary,detailed,Ireland,52.8
2020,All ages,Both sexes,Primary & Lower Secondary,detailed,Ireland,50.4
2021,All ages,Both sexes,Primary & Lower Secondary,detailed,Ireland,52.1
2022,All ages,Both sexes,Primary & Lower Secondary,detailed,Ireland,53.5
2023,All ages,Both sexes,Primary & Lower Secondary,detailed,Ireland,57.9
2024,All ages,Both sexes,Primary & Lower Secondary,detailed,Ireland,54.7
2019,20 - 24 years,Both sexes,Tertiary,detailed,Ireland,80.6
2020,20 - 24 years,Both sexes,Tertiary,detailed,Ireland,71.6
2021,20 - 24 years,Both sexes,Tertiary,detailed,Ireland,75.7
2022,20 - 24 years,Both sexes,Tertiary,detailed,Ireland,82.2
2023,20 - 24 years,Both sexes,Tertiary,detailed,Ireland,83.1
2024,20 - 24 years,Both sexes,Tertiary,detailed,Ireland,81.1
2019,25 - 29 years,Both sexes,Tertiary,detailed,Ireland,86.4
2020,25 - 29 years,Both sexes,Tertiary,detailed,Ireland,82.5
2021,25 - 29 years,Both sexes,Tertiary,detailed,Ireland,89.0
2022,25 - 29 years,Both sexes,Tertiary,detailed,Ireland,91.2
2023,25 - 29 years,Both sexes,Tertiary,detailed,Ireland,88.3
2024,25 - 29 years,Both sexes,Tertiary,detailed,Ireland,89.8
2019,30 - 34 years,Both sexes,Tertiary,detailed,Ireland,88.0
2020,30 - 34 years,Both sexes,Tertiary,detailed,Ireland,86.9
2021,30 - 34 years,Both sexes,Tertiary,detailed,Ireland,87.8
2022,30 - 34 years,Both sexes,Tertiary,detailed,Ireland,90.0
2023,30 - 34 years,Both sexes,Tertiary,detailed,Ireland,90.0
2024,30 - 34 years,Both sexes,Tertiary,detailed,Ireland,89.5
2019,35 - 39 years,Both sexes,Tertiary,detailed,Ireland,88.4
2020,35 - 39 years,Both sexes,Tertiary,detailed,Ireland,86.2
2021,35 - 39 years,Both sexes,Tertiary,detailed,Ireland,87.9
2022,35 - 39 years,Both sexes,Tertiary,detailed,Ireland,88.7
2023,35 - 39 years,Both sexes,Tertiary,detailed,Ireland,90.8
2024,35 - 39 years,Both sexes,Tertiary,detailed,Ireland,90.2
2019,40 - 44 years,Both sexes,Tertiary,detailed,Ireland,88.1
2020,40 - 44 years,Both sexes,Tertiary,detailed,Ireland,85.7
2021,40 - 44 years,Both sexes,Tertiary,detailed,Ireland,88.8
2022,40 - 44 years,Both sexes,Tertiary,detailed,Ireland,89.8
2023,40 - 44 years,Both sexes,Tertiary,detailed,Ireland,90.8
2024,40 - 44 years,Both sexes,Tertiary,detailed,Ireland,89.1
2019,45 - 49 years,Both sexes,Tertiary,detailed,Ireland,87.6
2020,45 - 49 years,Both sexes,Tertiary,detailed,Ireland,86.4
2021,45 - 49 years,Both sexes,Tertiary,detailed,Ireland,88.3
2022,45 - 49 years,Both sexes,Tertiary,detailed,Ireland,89.8
2023,45 - 49 years,Both sexes,Tertiary,detailed,Ireland,88.5
2024,45 - 49 years,Both sexes,Tertiary,detailed,Ireland,90.0
2019,50 - 54 years,Both sexes,Tertiary,detailed,Ireland,87.1
2020,50 - 54 years,Both sexes,Tertiary,detailed,Ireland,85.5
2021,50 - 54 years,Both sexes,Tertiary,detailed,Ireland,87.5
2022,50 - 54 years,Both sexes,Tertiary,detailed,Ireland,89.5
2023,50 - 54 years,Both sexes,Tertiary,detailed,Ireland,89.1
2024,50 - 54 years,Both sexes,Tertiary,detailed,Ireland,89.3
2019,55 - 59 years,Both sexes,Tertiary,detailed,Ireland,79.4
2020,55 - 59 years,Both sexes,Tertiary,detailed,Ireland,78.6
2021,55 - 59 years,Both sexes,Tertiary,detailed,Ireland,81.1
2022,55 - 59 years,Both sexes,Tertiary,detailed,Ireland,85.7
2023,55 - 59 years,Both sexes,Tertiary,detailed,Ireland,83.7
2024,55 - 59 years,Both sexes,Tertiary,detailed,Ireland,85.3
2019,60 - 64 years,Both sexes,Tertiary,detailed,Ireland,58.7
2020,60 - 64 years,Both sexes,Tertiary,detailed,Ireland,59.1
2021,60 - 64 years,Both sexes,Tertiary,detailed,Ireland,59.0
2022,60 - 64 years,Both sexes,Tertiary,detailed,Ireland,63.8
2023,60 - 64 years,Both sexes,Tertiary,detailed,Ireland,63.3
2024,60 - 64 years,Both sexes,Tertiary,detailed,Ireland,65.0
2019,All ages,Both sexes,Tertiary,detailed,Ireland,84.9
2020,All ages,Both sexes,Tertiary,detailed,Ireland,82.7
2021,All ages,Both sexes,Tertiary,detailed,Ireland,85.2
2022,All ages,Both sexes,Tertiary,detailed,Ireland,87.4
2023,All ages,Both sexes,Tertiary,detailed,Ireland,87.1
2024,All ages,Both sexes,Tertiary,detailed,Ireland,87.1
2019,20 - 24 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,62.0
2020,20 - 24 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,52.2
2021,20 - 24 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,60.8
2022,20 - 24 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,62.4
2023,20 - 24 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,68.5
2024,20 - 24 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,67.4
2019,25 - 29 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,74.4
2020,25 - 29 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,66.9
2021,25 - 29 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,69.1
2022,25 - 29 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,72.8
2023,25 - 29 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,75.5
2024,25 - 29 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,76.7
2019,30 - 34 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,77.3
2020,30 - 34 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,68.6
2021,30 - 34 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,73.6
2022,30 - 34 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,74.2
2023,30 - 34 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,75.2
2024,30 - 34 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,77.1
2019,35 - 39 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,78.7
2020,35 - 39 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,72.6
2021,35 - 39 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,72.7
2022,35 - 39 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,79.0
2023,35 - 39 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,75.0
2024,35 - 39 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,81.7
2019,40 - 44 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,77.9
2020,40 - 44 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,75.7
2021,40 - 44 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,77.8
2022,40 - 44 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,79.8
2023,40 - 44 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,84.3
2024,40 - 44 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,84.1
2019,45 - 49 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,78.3
2020,45 - 49 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,76.0
2021,45 - 49 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,75.8
2022,45 - 49 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,84.4
2023,45 - 49 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,84.0
2024,45 - 49 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,83.4
2019,50 - 54 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,76.2
2020,50 - 54 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,72.6
2021,50 - 54 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,74.3
2022,50 - 54 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,78.0
2023,50 - 54 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,76.4
2024,50 - 54 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,77.5
2019,55 - 59 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,70.5
2020,55 - 59 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,68.1
2021,55 - 59 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,69.4
2022,55 - 59 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,71.9
2023,55 - 59 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,68.4
2024,55 - 59 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,75.9
2019,60 - 64 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,57.0
2020,60 - 64 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,55.0
2021,60 - 64 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,56.6
2022,60 - 64 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,59.7
2023,60 - 64 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,61.7
2024,60 - 64 years,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,60.3
2019,All ages,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,72.3
2020,All ages,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,66.8
2021,All ages,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,69.7
2022,All ages,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,73.0
2023,All ages,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,73.9
2024,All ages,Both sexes,Upper Secondary & Post-secondary,detailed,Ireland,75.5
2019,20 - 24 years,Female,All Levels,all,Ireland,63.7
2020,20 - 24 years,Female,All Levels,all,Ireland,56.3
2021,20 - 24 years,Female,All Levels,all,Ireland,64.2
2022,20 - 24 years,Female,All Levels,all,Ireland,66.8
2023,20 - 24 years,Female,All Levels,all,Ireland,70.1
2024,20 - 24 years,Female,All Levels,all,Ireland,69.8
2019,25 - 29 years,Female,All Levels,all,Ireland,75.4
2020,25 - 29 years,Female,All Levels,all,Ireland,70.7
2021,25 - 29 years,Female,All Levels,all,Ireland,75.6
2022,25 - 29 years,Female,All Levels,all,Ireland,80.1
2023,25 - 29 years,Female,All Levels,all,Ireland,80.0
2024,25 - 29 years,Female,All Levels,all,Ireland,80.8
2019,30 - 34 years,Female,All Levels,all,Ireland,74.0
2020,30 - 34 years,Female,All Levels,all,Ireland,70.4
2021,30 - 34 years,Female,All Levels,all,Ireland,77.6
2022,30 - 34 years,Female,All Levels,all,Ireland,78.3
2023,30 - 34 years,Female,All Levels,all,Ireland,78.4
2024,30 - 34 years,Female,All Levels,all,Ireland,80.8
2019,35 - 39 years,Female,All Levels,all,Ireland,74.2
2020,35 - 39 years,Female,All Levels,all,Ireland,70.5
2021,35 - 39 years,Female,All Levels,all,Ireland,73.9
2022,35 - 39 years,Female,All Levels,all,Ireland,76.3
2023,35 - 39 years,Female,All Levels,all,Ireland,77.3
2024,35 - 39 years,Female,All Levels,all,Ireland,81.0
2019,40 - 44 years,Female,All Levels,all,Ireland,74.3
2020,40 - 44 years,Female,All Levels,all,Ireland,71.5
2021,40 - 44 years,Female,All Levels,all,Ireland,75.6
2022,40 - 44 years,Female,All Levels,all,Ireland,78.0
2023,40 - 44 years,Female,All Levels,all,Ireland,81.1
2024,40 - 44 years,Female,All Levels,all,Ireland,79.2
2019,45 - 49 years,Female,All Levels,all,Ireland,73.1
2020,45 - 49 years,Female,All Levels,all,Ireland,71.3
2021,45 - 49 years,Female,All Levels,all,Ireland,74.6
2022,45 - 49 years,Female,All Levels,all,Ireland,78.3
2023,45 - 49 years,Female,All Levels,all,Ireland,79.2
2024,45 - 49 years,Female,All Levels,all,Ireland,80.2
2019,50 - 54 years,Female,All Levels,all,Ireland,68.5
2020,50 - 54 years,Female,All Levels,all,Ireland,68.6
2021,50 - 54 years,Female,All Levels,all,Ireland,70.2
2022,50 - 54 years,Female,All Levels,all,Ireland,72.4
2023,50 - 54 years,Female,All Levels,all,Ireland,76.7
2024,50 - 54 years,Female,All Levels,all,Ireland,77.4
2019,55 - 59 years,Female,All Levels,all,Ireland,61.0
2020,55 - 59 years,Female,All Levels,all,Ireland,61.5
2021,55 - 59 years,Female,All Levels,all,Ireland,65.1
2022,55 - 59 years,Female,All Levels,all,Ireland,69.2
2023,55 - 59 years,Female,All Levels,all,Ireland,66.1
2024,55 - 59 years,Female,All Levels,all,Ireland,70.7
2019,60 - 64 years,Female,All Levels,all,Ireland,45.7
2020,60 - 64 years,Female,All Levels,all,Ireland,42.7
2021,60 - 64 years,Female,All Levels,all,Ireland,44.6
2022,60 - 64 years,Female,All Levels,all,Ireland,47.6
2023,60 - 64 years,Female,All Levels,all,Ireland,52.0
2024,60 - 64 years,Female,All Levels,all,Ireland,51.6
2019,All ages,Female,All Levels,all,Ireland,68.7
2020,All ages,Female,All Levels,all,Ireland,65.7
2021,All ages,Female,All Levels,all,Ireland,69.9
2022,All ages,Female,All Levels,all,Ireland,72.7
2023,All ages,Female,All Levels,all,Ireland,74.2
2024,All ages,Female,All Levels,all,Ireland,75.4
2019,20 - 24 years,Female,Primary & Lower Secondary,detailed,Ireland,25.9
2020,20 - 24 years,Female,Primary & Lower Secondary,detailed,Ireland,32.4
2019,25 - 29 years,Female,Primary & Lower Secondary,detailed,Ireland,29.4
2019,30 - 34 years,Female,Primary & Lower Secondary,detailed,Ireland,34.2
2020,30 - 34 years,Female,Primary & Lower Secondary,detailed,Ireland,35.1
2019,35 - 39 years,Female,Primary & Lower Secondary,detailed,Ireland,38.4
2020,35 - 39 years,Female,Primary & Lower Secondary,detailed,Ireland,31.8
2019,40 - 44 years,Female,Primary & Lower Secondary,detailed,Ireland,40.0
2020,40 - 44 years,Female,Primary & Lower Secondary,detailed,Ireland,40.1
2019,45 - 49 years,Female,Primary & Lower Secondary,detailed,Ireland,44.5
2020,45 - 49 years,Female,Primary & Lower Secondary,detailed,Ireland,42.8
2019,50 - 54 years,Female,Primary & Lower Secondary,detailed,Ireland,40.4
2020,50 - 54 years,Female,Primary & Lower Secondary,detailed,Ireland,38.7
2022,50 - 54 years,Female,Primary & Lower Secondary,detailed,Ireland,34.7
2023,50 - 54 years,Female,Primary & Lower Secondary,detailed,Ireland,51.8
2024,50 - 54 years,Female,Primary & Lower Secondary,detailed,Ireland,53.7
2019,55 - 59 years,Female,Primary & Lower Secondary,detailed,Ireland,40.7
2020,55 - 59 years,Female,Primary & Lower Secondary,detailed,Ireland,37.5
2021,55 - 59 years,Female,Primary & Lower Secondary,detailed,Ireland,44.4
2022,55 - 59 years,Female,Primary & Lower Secondary,detailed,Ireland,51.5
2023,55 - 59 years,Female,Primary & Lower Secondary,detailed,Ireland,52.8
2024,55 - 59 years,Female,Primary & Lower Secondary,detailed,Ireland,38.8
2019,60 - 64 years,Female,Primary & Lower Secondary,detailed,Ireland,31.9
2020,60 - 64 years,Female,Primary & Lower Secondary,detailed,Ireland,28.6
2021,60 - 64 years,Female,Primary & Lower Secondary,detailed,Ireland,28.8
2022,60 - 64 years,Female,Primary & Lower Secondary,detailed,Ireland,26.0
2023,60 - 64 years,Female,Primary & Lower Secondary,detailed,Ireland,46.5
2024,60 - 64 years,Female,Primary & Lower Secondary,detailed,Ireland,35.7
2019,All ages,Female,Primary & Lower Secondary,detailed,Ireland,37.5
2020,All ages,Female,Primary & Lower Secondary,detailed,Ireland,34.8
2021,All ages,Female,Primary & Lower Secondary,detailed,Ireland,33.0
2022,All ages,Female,Primary & Lower Secondary,detailed,Ireland,36.6
2023,All ages,Female,Primary & Lower Secondary,detailed,Ireland,40.1
2024,All ages,Female,Primary & Lower Secondary,detailed,Ireland,39.5
2019,20 - 24 years,Female,Tertiary,detailed,Ireland,80.5
2020,20 - 24 years,Female,Tertiary,detailed,Ireland,73.1
2021,20 - 24 years,Female,Tertiary,detailed,Ireland,78.7
2022,20 - 24 years,Female,Tertiary,detailed,Ireland,80.2
2023,20 - 24 years,Female,Tertiary,detailed,Ireland,81.9
2024,20 - 24 years,Female,Tertiary,detailed,Ireland,83.8
2019,25 - 29 years,Female,Tertiary,detailed,Ireland,84.4
2020,25 - 29 years,Female,Tertiary,detailed,Ireland,80.8
2021,25 - 29 years,Female,Tertiary,detailed,Ireland,87.5
2022,25 - 29 years,Female,Tertiary,detailed,Ireland,89.7
2023,25 - 29 years,Female,Tertiary,detailed,Ireland,86.9
2024,25 - 29 years,Female,Tertiary,detailed,Ireland,87.9
2019,30 - 34 years,Female,Tertiary,detailed,Ireland,83.5
2020,30 - 34 years,Female,Tertiary,detailed,Ireland,82.4
2021,30 - 34 years,Female,Tertiary,detailed,Ireland,85.5
2022,30 - 34 years,Female,Tertiary,detailed,Ireland,88.0
2023,30 - 34 years,Female,Tertiary,detailed,Ireland,88.0
2024,30 - 34 years,Female,Tertiary,detailed,Ireland,86.7
2019,35 - 39 years,Female,Tertiary,detailed,Ireland,84.2
2020,35 - 39 years,Female,Tertiary,detailed,Ireland,81.7
2021,35 - 39 years,Female,Tertiary,detailed,Ireland,83.7
2022,35 - 39 years,Female,Tertiary,detailed,Ireland,84.0
2023,35 - 39 years,Female,Tertiary,detailed,Ireland,86.6
2024,35 - 39 years,Female,Tertiary,detailed,Ireland,87.2
2019,40 - 44 years,Female,Tertiary,detailed,Ireland,83.7
2020,40 - 44 years,Female,Tertiary,detailed,Ireland,80.4
2021,40 - 44 years,Female,Tertiary,detailed,Ireland,84.6
2022,40 - 44 years,Female,Tertiary,detailed,Ireland,85.0
2023,40 - 44 years,Female,Tertiary,detailed,Ireland,87.4
2024,40 - 44 years,Female,Tertiary,detailed,Ireland,85.8
2019,45 - 49 years,Female,Tertiary,detailed,Ireland,83.1
2020,45 - 49 years,Female,Tertiary,detailed,Ireland,80.6
2021,45 - 49 years,Female,Tertiary,detailed,Ireland,86.3
2022,45 - 49 years,Female,Tertiary,detailed,Ireland,87.3
2023,45 - 49 years,Female,Tertiary,detailed,Ireland,84.9
2024,45 - 49 years,Female,Tertiary,detailed,Ireland,86.9
2019,50 - 54 years,Female,Tertiary,detailed,Ireland,81.8
2020,50 - 54 years,Female,Tertiary,detailed,Ireland,82.1
2021,50 - 54 years,Female,Tertiary,detailed,Ireland,84.5
2022,50 - 54 years,Female,Tertiary,detailed,Ireland,82.3
2023,50 - 54 years,Female,Tertiary,detailed,Ireland,83.8
2024,50 - 54 years,Female,Tertiary,detailed,Ireland,85.0
2019,55 - 59 years,Female,Tertiary,detailed,Ireland,74.1
2020,55 - 59 years,Female,Tertiary,detailed,Ireland,74.7
2021,55 - 59 years,Female,Tertiary,detailed,Ireland,76.7
2022,55 - 59 years,Female,Tertiary,detailed,Ireland,80.9
2023,55 - 59 years,Female,Tertiary,detailed,Ireland,78.5
2024,55 - 59 years,Female,Tertiary,detailed,Ireland,84.3
2019,60 - 64 years,Female,Tertiary,detailed,Ireland,55.2
2020,60 - 64 years,Female,Tertiary,detailed,Ireland,52.8
2021,60 - 64 years,Female,Tertiary,detailed,Ireland,52.0
2022,60 - 64 years,Female,Tertiary,detailed,Ireland,57.4
2023,60 - 64 years,Female,Tertiary,detailed,Ireland,57.2
2024,60 - 64 years,Female,Tertiary,detailed,Ireland,60.6
2019,All ages,Female,Tertiary,detailed,Ireland,81.0
2020,All ages,Female,Tertiary,detailed,Ireland,78.7
2021,All ages,Female,Tertiary,detailed,Ireland,82.2
2022,All ages,Female,Tertiary,detailed,Ireland,83.5
2023,All ages,Female,Tertiary,detailed,Ireland,83.7
2024,All ages,Female,Tertiary,detailed,Ireland,84.5
2019,20 - 24 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,59.6
2020,20 - 24 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,49.7
2021,20 - 24 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,56.7
2022,20 - 24 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,62.7
2023,20 - 24 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,67.2
2024,20 - 24 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,63.4
2019,25 - 29 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,66.7
2020,25 - 29 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,57.1
2021,25 - 29 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,63.5
2022,25 - 29 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,67.9
2023,25 - 29 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,75.1
2024,25 - 29 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,69.5
2019,30 - 34 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,65.8
2020,30 - 34 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,54.2
2021,30 - 34 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,65.3
2022,30 - 34 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,63.7
2023,30 - 34 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,60.2
2024,30 - 34 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,72.3
2019,35 - 39 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,65.4
2020,35 - 39 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,58.1
2021,35 - 39 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,61.4
2022,35 - 39 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,67.1
2023,35 - 39 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,60.5
2024,35 - 39 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,73.8
2019,40 - 44 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,67.1
2020,40 - 44 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,62.5
2021,40 - 44 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,65.9
2022,40 - 44 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,67.8
2023,40 - 44 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,77.0
2024,40 - 44 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,72.8
2019,45 - 49 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,68.9
2020,45 - 49 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,64.8
2021,45 - 49 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,63.5
2022,45 - 49 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,77.0
2023,45 - 49 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,73.5
2024,45 - 49 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,75.4
2019,50 - 54 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,67.0
2020,50 - 54 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,64.0
2021,50 - 54 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,67.8
2022,50 - 54 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,70.6
2023,50 - 54 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,70.8
2024,50 - 54 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,71.6
2019,55 - 59 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,62.9
2020,55 - 59 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,62.7
2021,55 - 59 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,64.0
2022,55 - 59 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,64.3
2023,55 - 59 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,55.9
2024,55 - 59 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,66.9
2019,60 - 64 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,50.1
2020,60 - 64 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,45.9
2021,60 - 64 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,48.5
2022,60 - 64 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,50.1
2023,60 - 64 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,49.1
2024,60 - 64 years,Female,Upper Secondary & Post-secondary,detailed,Ireland,50.5
2019,All ages,Female,Upper Secondary & Post-secondary,detailed,Ireland,63.8
2020,All ages,Female,Upper Secondary & Post-secondary,detailed,Ireland,57.5
2021,All ages,Female,Upper Secondary & Post-secondary,detailed,Ireland,61.7
2022,All ages,Female,Upper Secondary & Post-secondary,detailed,Ireland,65.4
2023,All ages,Female,Upper Secondary & Post-secondary,detailed,Ireland,65.1
2024,All ages,Female,Upper Secondary & Post-secondary,detailed,Ireland,67.9
